ModuleID,VideoLink
4,https://www.spoldzielnia.com/app/postsregister.htm
5,https://www.grupa.com/tags/wp-contentpost.html
13,https://www.grupa.com/tags/wp-contentpost.asp
15,https://www.stowarzyszenie.com/search/postsauthor.htm
16,http://spoldzielnia.org/categories/blog/listlogin.html
18,https://grupa.com/list/main/postsauthor.html
21,http://spoldzielnia.org/posts/blog/tagsregister.htm
23,https://fundacja.pl/posts/main/tagsearch.php
24,http://maciuszek.com/tags/explore/categoriesabout.htm
26,https://lemiesz.pl/main/explore/exploremain.htm
28,http://gabinety.org/posts/blog/categorycategory.php
30,http://kobryn.net/tag/blog/categorymain.html
33,https://ppuh.com/blog/app/tagabout.htm
34,https://www.gabinety.com/categories/list/tagindex.php
35,https://www.stowarzyszenie.pl/explore/tagshome.htm
