MeetingID,StudentID,MeetingCompletion
2,1,false
2,2,false
2,16,true
2,31,false
2,46,false
2,61,true
2,76,false
2,91,true
2,106,true
2,121,true
2,132,false
2,136,true
2,151,true
2,166,false
2,181,false
2,196,true
2,211,true
2,226,true
2,241,false
2,256,true
2,262,true
2,271,false
2,286,false
3,1,false
3,3,false
3,16,true
3,31,false
3,46,false
3,61,true
3,76,false
3,91,true
3,106,true
3,121,true
3,133,false
3,136,true
3,151,true
3,166,false
3,181,false
3,196,true
3,211,true
3,226,true
3,241,false
3,256,true
3,263,true
3,271,false
3,286,false
4,1,false
4,4,false
4,14,false
4,16,true
4,29,false
4,31,false
4,44,true
4,46,false
4,59,false
4,61,true
4,74,false
4,76,false
4,89,true
4,91,true
4,104,true
4,106,true
4,119,true
4,121,true
4,134,true
4,136,true
4,149,false
4,151,true
4,164,true
4,166,false
4,179,true
4,181,false
4,194,false
4,196,true
4,209,true
4,211,true
4,224,false
4,226,true
4,239,true
4,241,false
4,254,true
4,256,true
4,264,false
4,269,true
4,271,false
4,284,true
4,286,false
4,299,false
5,1,false
5,2,false
5,5,false
5,16,true
5,17,false
5,31,false
5,32,false
5,46,false
5,47,false
5,61,true
5,62,false
5,76,false
5,77,true
5,91,true
5,92,true
5,106,true
5,107,false
5,121,true
5,122,false
5,135,true
5,136,true
5,137,true
5,151,true
5,152,false
5,166,false
5,167,true
5,181,false
5,182,false
5,196,true
5,197,true
5,211,true
5,212,true
5,226,true
5,227,false
5,241,false
5,242,false
5,256,true
5,257,true
5,265,true
5,271,false
5,272,false
5,286,false
5,287,false
7,1,false
7,7,true
7,16,true
7,31,false
7,46,false
7,61,true
7,76,false
7,91,true
7,106,true
7,121,true
7,136,true
7,137,true
7,151,true
7,166,false
7,181,false
7,196,true
7,211,true
7,226,true
7,241,false
7,256,true
7,267,true
7,271,false
7,286,false
8,1,false
8,8,true
8,16,true
8,31,false
8,46,false
8,61,true
8,76,false
8,91,true
8,106,true
8,121,true
8,136,true
8,138,false
8,151,true
8,166,false
8,181,false
8,196,true
8,211,true
8,226,true
8,241,false
8,256,true
8,268,true
8,271,false
8,286,false
9,2,false
9,9,true
9,17,false
9,32,false
9,47,false
9,62,false
9,77,true
9,92,true
9,107,false
9,122,false
9,137,true
9,139,true
9,152,false
9,167,true
9,182,false
9,197,true
9,212,true
9,227,false
9,242,false
9,257,true
9,269,true
9,272,false
9,287,false
10,2,false
10,10,true
10,11,true
10,17,false
10,26,false
10,32,false
10,41,true
10,47,false
10,56,false
10,62,false
10,71,true
10,77,true
10,86,false
10,92,true
10,101,true
10,107,false
10,116,true
10,122,false
10,131,true
10,137,true
10,140,false
10,146,true
10,152,false
10,161,false
10,167,true
10,176,false
10,182,false
10,191,true
10,197,true
10,206,true
10,212,true
10,221,false
10,227,false
10,236,false
10,242,false
10,251,false
10,257,true
10,266,true
10,270,true
10,272,false
10,281,false
10,287,false
10,296,true
11,2,false
11,11,true
11,17,false
11,32,false
11,47,false
11,62,false
11,77,true
11,92,true
