ModuleID,StudentID,ModuleCompletion
1,14,false
1,29,false
1,44,true
1,59,false
1,74,false
1,89,true
1,104,true
1,119,true
1,134,true
1,149,false
1,164,true
1,179,true
1,194,false
1,209,true
1,224,false
1,239,true
1,254,true
1,269,true
1,284,true
1,299,false
2,1,false
2,15,true
2,16,true
2,30,true
2,31,false
2,45,false
2,46,false
2,60,false
2,61,true
2,75,false
2,76,false
2,90,true
2,91,true
2,105,false
2,106,true
2,120,true
2,121,true
2,135,true
2,136,true
2,150,false
2,151,true
2,165,true
2,166,false
2,180,false
2,181,false
2,195,false
2,196,true
2,210,true
2,211,true
2,225,false
2,226,true
2,240,true
2,241,false
2,255,true
2,256,true
2,270,true
2,271,false
2,285,true
2,286,false
2,300,false
3,7,true
3,22,true
3,37,false
3,52,true
3,67,true
3,82,true
3,97,true
3,112,true
3,127,true
3,142,true
3,157,true
3,172,false
3,187,false
3,202,false
3,217,false
3,232,false
3,247,false
3,262,true
3,277,true
3,292,false
6,9,true
6,24,false
6,39,false
6,54,true
6,69,true
6,84,true
6,99,false
6,114,false
6,129,true
6,144,false
6,159,true
6,174,true
6,189,false
6,204,true
6,219,false
6,234,true
6,249,false
6,264,false
6,279,true
6,294,false
7,10,true
7,25,false
7,40,false
7,55,false
7,70,false
7,85,false
7,100,false
7,115,true
7,130,false
7,145,true
7,160,false
7,175,true
7,190,false
7,205,false
7,220,true
7,235,false
7,250,true
7,265,true
7,280,false
7,295,true
8,13,true
8,28,false
8,43,true
8,58,true
8,73,false
8,88,false
8,103,true
8,118,false
8,133,false
8,148,true
8,163,false
8,178,true
8,193,true
8,208,true
8,223,true
8,238,true
8,253,false
8,268,true
8,283,true
8,298,false
9,4,false
9,13,true
9,19,false
9,28,false
9,34,true
9,43,true
9,49,true
9,58,true
9,64,true
9,73,false
9,79,true
9,88,false
9,94,false
9,103,true
9,109,true
9,118,false
9,124,true
9,133,false
9,139,true
9,148,true
9,154,true
9,163,false
9,169,true
9,178,true
9,184,true
9,193,true
9,199,true
9,208,true
9,214,true
9,223,true
9,229,true
9,238,true
9,244,true
9,253,false
9,259,true
9,268,true
9,274,true
9,283,true
9,289,true
9,298,false
10,6,false
10,8,true
10,12,true
10,21,true
10,23,true
10,27,false
10,36,false
10,38,false
10,42,true
10,51,false
10,53,false
10,57,true
10,66,false
10,68,false
10,72,true
10,81,true
10,83,false
10,87,true
10,96,false
10,98,false
10,102,false
10,111,true
10,113,true
10,117,false
10,126,true
10,128,false
10,132,false
10,141,true
10,143,false
10,147,true
10,156,true
10,158,true
10,162,true
10,171,true
10,173,false
10,177,true
10,186,true
10,188,true
10,192,false
10,201,false
10,203,false
10,207,true
10,216,true
10,218,true
10,222,true
10,231,true
10,233,true
10,237,false
10,246,true
10,248,false
10,252,false
10,261,false
10,263,true
